Id,GameTitle,Platforms,MobyScore,CriticScore,CriticVotes,UserScore,UserVotes,LastUpdatedUTC
42982,Black Mirror II: Reigning Evil,Windows,7.828173913043479,79,36,3.9339393939393936,33,20/10/2024 5:25:50 AM
1174,Black Dahlia,Windows,7.345961840628506,70,29,3.9707692307692306,26,20/10/2024 5:25:52 AM
1174,Black Dahlia,Windows,7.345961840628506,70,29,3.9707692307692306,26,20/10/2024 5:25:52 AM
15929,Black Cats and Pointed Hats,"Windows,Macintosh",0,30,1,3.17,1,20/10/2024 5:25:52 AM
5778,Black & White: Creature Isle,"Windows,Macintosh",7.4,0,0,0,0,20/10/2024 5:25:53 AM
22613,Black & White 2: Battle of the Gods,Windows,7.008627450980393,70,18,3.5439999999999996,5,20/10/2024 5:25:54 AM
19486,Black & White 2,"Windows,Macintosh",7.544591611479029,77,53,3.8111111111111113,27,20/10/2024 5:25:54 AM
3598,Black & White,"Windows,Macintosh",7.97102766798419,90,49,3.669191176470588,136,20/10/2024 5:25:55 AM
3252,Rowan's Battle of Britain,Windows,7.305084745762712,73,22,3.88,5,20/10/2024 5:25:55 AM
29774,Birth of America,Windows,7.03081081081081,71,12,3.19,3,20/10/2024 5:25:56 AM
3818,Birds of Prey,"DOS,Amiga",7.006410256410257,51,8,3,3,20/10/2024 5:25:56 AM
60152,BioShock Infinite,"Linux,Windows,Xbox 360,Macintosh,PlayStation 3",8.23066147859922,0,0,4.855,2,20/10/2024 5:25:57 AM
45089,BioShock 2,"Windows,Xbox 360,Macintosh,PlayStation 3",8.34248042555735,84,48,3.942125,80,20/10/2024 5:25:57 AM
29886,BioShock,"Windows,Xbox 360,Macintosh,PlayStation 3,iPhone,iPad,OnLive",8.715739875389408,94,99,4.03437751004016,249,20/10/2024 5:25:58 AM
8394,Bioscopia: Where Science Conquers Evil,"Windows,Macintosh",7.62439024390244,79,14,3.6,5,20/10/2024 5:25:58 AM
28262,Bionicle Heroes,"Windows,PlayStation 2,GameCube,Xbox 360,Wii",6.397586206896552,58,20,3.785,10,20/10/2024 5:26:01 AM
11487,Bionicle,"Windows,PlayStation 2,Xbox,GameCube,Macintosh",6.0797297297297295,54,7,3.177777777777778,9,20/10/2024 5:26:01 AM
8779,Bionic Commando,"DOS,Amiga,Atari ST,Commodore 64,ZX Spectrum,Amstrad CPC,Arcade",6.691023102310231,32,2,2.7800000000000002,5,20/10/2024 5:26:01 AM
165105,Biomutant,"Windows,PlayStation 4,Xbox One,Nintendo Switch,PlayStation 5,Xbox Series",6.354814814814815,60,15,3.2616666666666667,6,20/10/2024 5:26:01 AM
137315,Biolab Wars,"Linux,Windows,Nintendo Switch,Atari VCS,PlayStation 4,Macintosh",6.766666666666666,0,0,2.2,1,20/10/2024 5:26:01 AM
3710,Resident Evil: Survivor,"PlayStation,Windows",5.7,0,0,0,0,20/10/2024 5:26:02 AM
58397,Resident Evil 6,"Xbox 360,PlayStation 3,Windows",6.7,0,0,0,0,20/10/2024 5:26:02 AM
40967,Resident Evil 5,"Xbox 360,PlayStation 3,Windows,Xbox One,Android",7.9,0,0,0,0,20/10/2024 5:26:03 AM
16373,Resident Evil 4,"PlayStation 2,Windows,Wii,Xbox 360,PlayStation 3,Wii U,PlayStation 4,Xbox One,Nintendo Switch",8.4,0,0,0,0,20/10/2024 5:26:04 AM
955,Resident Evil 2,"PlayStation,PSP,PlayStation 3,PS Vita",8.6,0,0,0,0,20/10/2024 5:26:04 AM
561,BioForge,"DOS,Windows",8.177777777777777,85,21,4.083636363636364,55,20/10/2024 5:26:04 AM
1898,Icewind Dale,"Windows,Macintosh",8,0,0,0,0,20/10/2024 5:26:06 AM
15525,Billy Hatcher and the Giant Egg,"Windows,GameCube",7.018532110091743,66,8,3,5,20/10/2024 5:26:06 AM
71854,Bill Nye: The Science Guy - Stop the Rock!,"Windows,Windows 3.x,Macintosh",0,80,1,2.953333333333333,3,20/10/2024 5:26:06 AM
7406,Bikini Karate Babes,Windows,4.626111111111111,25,5,2.223125,16,20/10/2024 5:26:06 AM
28898,Biko 3,Windows,0,0,0,0,0,20/10/2024 5:26:06 AM
3805,"Biing! 2: Sonne, Strand und heiße Nächte",Windows,5.421428571428572,41,6,2.75,6,20/10/2024 5:26:06 AM
195663,Big Star: Volume 2,DOS,0,0,0,0,0,20/10/2024 5:26:06 AM
99,Big Red Racing,"DOS,Windows",7.323595505617977,77,16,3.5172413793103448,29,20/10/2024 5:26:06 AM
99,Big Red Racing,"Windows,DOS",7.3,0,0,0,0,20/10/2024 5:26:06 AM
3206,The Big Red Adventure,"DOS,Amiga",6.814188034188034,65,17,3.4857142857142853,14,20/10/2024 5:26:06 AM
8964,Big Mutha Truckers,"Windows,PlayStation 2,Xbox,GameCube",6.611028037383178,63,17,2.9792857142857145,14,20/10/2024 5:26:06 AM
73508,Big Fish Games CD: Issue 36,Windows,0,0,0,0,0,20/10/2024 5:26:08 AM
41965,Big Brother: The Game,Windows,0,13,3,0.19999999999999998,3,20/10/2024 5:26:09 AM
66511,Bicycle Totally Fun Card Games,Windows,0,0,0,0,0,20/10/2024 5:26:10 AM
71106,Bicycle Solitaire,DOS,0,0,0,0,0,20/10/2024 5:26:10 AM
